George Mason,William & Mary,70,56,24-48,22-47,50.0,46.8,8-17,6-20,47.1,30.0,14-20,6-10,70.0,60.0,26,29,6,8,18,20,18,8,12,7,2,0,11,18,14,15,0,0,0,0,14,2 
American,Brown,70,61,28-51,24-59,54.9,40.7,10-25,5-17,40.0,29.4,6-12,7-12,50.0,58.3,35,29,5,9,30,20,9,11,2,6,6,5,11,6,16,14,0,0,0,0,24,0 
Rhode Island,Boston College,78,72,21-68,26-54,30.9,48.1,9-29,9-27,31.0,33.3,27-35,11-16,77.1,68.8,46,39,22,6,24,29,8,16,12,5,2,8,10,16,17,23,0,0,0,0,10,5 
UNCW,Delaware,80,75,25-61,23-60,41.0,38.3,4-15,7-19,26.7,36.8,26-30,22-30,86.7,73.3,44,38,13,12,30,23,9,9,1,3,2,3,5,5,20,23,0,0,0,0,5,0 
Old Dominion,James Madison,67,61,22-61,22-58,36.1,37.9,9-20,8-28,45.0,28.6,14-29,9-13,48.3,69.2,54,33,22,7,28,24,15,13,5,5,3,3,13,10,15,24,0,0,0,0,8,12 
High Point,Charleston So.,88,78,24-62,23-55,38.7,41.8,14-39,13-33,35.9,39.4,8-12,8-12,66.7,66.7,41,37,16,9,23,26,14,10,2,2,2,1,6,11,11,15,0,0,0,0,13,8 
Georgia St.,Drexel,58,44,15-45,15-47,33.3,31.9,1-12,5-20,8.3,25.0,27-31,9-14,87.1,64.3,30,40,6,13,21,24,6,5,13,8,5,3,13,25,15,22,0,0,0,0,15,3 
Columbia,FDU,67,52,22-51,20-54,43.1,37.0,8-22,1-5,36.4,20.0,15-18,11-20,83.3,55.0,38,35,10,12,25,21,14,5,7,8,2,1,16,12,18,16,0,0,0,0,24,1 
VMI,GardnerWebb,76,72,28-62,27-62,45.2,43.5,7-30,6-19,23.3,31.6,13-20,12-19,65.0,63.2,36,44,8,10,25,30,14,13,8,8,8,3,10,14,16,18,0,0,0,0,11,5 
Albany,Hartford,88,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
