UNCAsh.,GardnerWebb,66,60,19-43,23-64,44.2,35.9,3-10,6-33,30.0,18.2,25-37,8-15,67.6,53.3,43,43,6,14,33,26,10,14,7,7,3,0,15,13,17,30,1,0,0,0,7,5 
Arkansas St.,St. Bona.,58,52,21-45,20-51,46.7,39.2,8-15,5-19,53.3,26.3,8-13,7-15,61.5,46.7,40,30,7,6,29,21,17,14,6,9,1,4,16,10,15,16,0,0,0,0,6,14 
CCSU,Bryant,83,51,32-63,18-56,50.8,32.1,13-29,5-25,44.8,20.0,6-14,10-17,42.9,58.8,45,41,11,13,29,24,25,10,10,4,2,4,11,19,17,17,0,0,0,0,36,0 
Clev. St.,Wright St.,45,43,16-40,16-39,40.0,41.0,5-17,2-9,29.4,22.2,8-9,9-14,88.9,64.3,29,21,10,6,18,15,10,6,5,9,0,0,16,11,18,15,0,0,0,0,8,3 
Davidson,Wofford,72,69,24-51,29-55,47.1,52.7,5-18,4-12,27.8,33.3,19-24,7-12,79.2,58.3,34,32,12,9,18,17,9,15,6,7,4,4,12,10,16,19,0,0,0,0,9,6 
Colgate,E. Michigan,74,70,22-40,24-63,55.0,38.1,6-14,4-24,42.9,16.7,24-30,18-20,80.0,90.0,41,33,7,14,27,15,18,7,3,7,2,1,19,10,19,22,0,0,0,0,11,0 
Georgia St.,FIU,73,47,23-53,14-58,43.4,24.1,6-23,4-24,26.1,16.7,21-32,15-23,65.6,65.2,49,47,15,18,27,22,12,8,8,7,14,2,14,16,19,25,0,0,0,0,30,5 
Robert Morris,FDU,66,54,28-55,21-54,50.9,38.9,9-19,10-19,47.4,52.6,18-22,13-21,81.8,61.9,46,35,13,14,26,16,17,11,5,6,4,1,10,12,19,20,0,0,0,0,22,1 
Harvard,Vermont,55,48,20-40,18-51,50.0,35.3,5-13,3-10,38.5,30.0,10-15,9-15,66.7,60.0,30,34,3,11,25,18,10,6,4,3,7,2,15,10,17,19,0,0,0,0,10,0 
SC Upstate,Jax. State,50,48,18-53,15-39,34.0,38.5,1-12,2-7,8.3,28.6,13-26,16-28,50.0,57.1,43,35,16,6,25,27,7,5,9,9,4,3,19,20,21,22,0,1,0,0,2,15 
Lehigh,Fordham,78,60,24-65,25-60,36.9,41.7,7-22,4-13,31.8,30.8,23-25,6-17,92.0,35.3,46,44,9,10,30,31,12,8,10,2,1,11,6,16,16,24,0,0,0,0,21,4 
Campbell,Liberty,96,82,30-54,27-63,55.6,42.9,4-10,4-14,40.0,28.6,32-43,24-33,74.4,72.7,35,36,7,13,27,21,19,19,6,4,6,2,11,12,27,33,1,1,0,0,14,0 
St. Fran.Pa.,Monmouth,71,49,26-43,19-52,60.5,36.5,5-12,4-20,41.7,20.0,14-20,7-12,70.0,58.3,36,27,9,11,24,12,14,9,10,6,2,0,19,15,12,19,0,0,0,0,24,0 
Kent St.,Morehead St.,83,63,28-57,23-51,49.1,45.1,7-21,7-19,33.3,36.8,20-31,10-18,64.5,55.6,35,41,11,13,21,24,22,15,14,2,2,1,10,22,22,25,0,0,0,0,23,1 
Providence,South Carolina,76,67,24-50,26-72,48.0,36.1,6-11,6-30,54.5,20.0,22-27,9-10,81.5,90.0,38,44,7,20,27,20,16,9,4,9,10,7,15,13,10,19,0,0,0,0,14,2 
Sacred Heart,Quinnipiac,68,55,21-50,21-67,42.0,31.3,6-15,4-15,40.0,26.7,20-29,9-20,69.0,45.0,49,49,9,20,30,25,12,13,6,7,3,2,16,15,19,23,0,0,0,0,16,3 
Savannah St.,Hampton,65,49,21-48,14-46,43.8,30.4,8-15,0-12,53.3,0.0,15-18,21-26,83.3,80.8,34,30,10,12,23,18,7,10,3,7,2,4,18,18,20,21,0,0,0,0,16,0 
Oakland,South Dakota,101,83,35-72,30-64,48.6,46.9,10-24,6-26,41.7,23.1,21-28,17-21,75.0,81.0,46,35,15,6,30,26,20,13,10,10,2,3,14,15,17,17,0,0,0,0,26,0 
S. Dak. St.,IUPUI,97,93,35-77,34-78,45.5,43.6,14-32,11-25,43.8,44.0,13-17,14-17,76.5,82.4,52,48,15,15,32,30,20,19,5,6,0,2,14,12,17,15,0,0,0,0,15,2 
St. Peter's,Siena,51,44,18-43,15-44,41.9,34.1,5-17,3-18,29.4,16.7,10-14,11-19,71.4,57.9,30,38,7,13,20,21,7,6,6,2,3,4,11,14,17,17,0,0,0,0,9,0 
St. Fran.NY,Mt St Mary's,64,54,25-43,24-54,58.1,44.4,3-8,6-20,37.5,30.0,17-25,7-16,68.0,43.8,38,24,6,7,27,15,12,10,7,9,2,3,16,11,20,25,1,1,0,0,15,0 
Ga. Southern,Chattanooga,84,76,31-60,29-59,51.7,49.2,11-23,9-23,47.8,39.1,11-17,9-16,64.7,56.3,37,32,13,10,23,20,21,19,10,7,0,0,17,14,15,17,0,0,0,0,16,4 
C. Carolina,VMI,87,78,31-55,29-67,56.4,43.3,8-18,11-32,44.4,34.4,19-28,12-15,67.9,80.0,47,26,12,8,32,16,17,11,2,6,3,0,15,7,12,21,0,1,0,0,11,4 
