East Carolina,UNCG,71,62,24-56,26-69,42.9,37.7,5-19,5-24,26.3,20.8,18-32,5-8,56.3,62.5,43,49,13,16,27,24,11,7,11,4,4,4,14,18,14,24,0,0,0,0,9,9 
C. Michigan,UIC,70,67,28-52,22-47,53.8,46.8,6-14,8-20,42.9,40.0,8-14,15-20,57.1,75.0,24,35,5,11,16,21,7,8,7,4,4,3,12,17,18,17,0,1,0,0,8,8 
C. Carolina,Lynchburg,86,61,33-59,22-58,55.9,37.9,7-18,9-19,38.9,47.4,13-20,8-15,65.0,53.3,43,30,10,8,31,20,22,10,8,7,6,1,15,16,13,15,0,0,0,0,25,0 
IUPUI,St. Josephs,75,55,27-64,21-62,42.2,33.9,3-10,3-16,30.0,18.8,18-20,10-14,90.0,71.4,46,40,14,12,30,24,15,12,14,7,2,3,16,20,14,18,0,0,0,0,25,0 
Nicholls St.,Dillard University,92,48,32-59,15-42,54.2,35.7,9-22,5-17,40.9,29.4,19-22,13-22,86.4,59.1,36,30,10,6,24,18,18,6,11,8,0,2,13,24,18,22,0,0,0,0,47,0 
UMKC,Canisius,72,67,26-56,15-48,46.4,31.3,6-20,4-15,30.0,26.7,9-17,21-29,52.9,72.4,35,35,10,10,25,25,20,7,4,8,3,3,12,15,24,18,0,0,0,0,, 
Utah,Idaho St.,71,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Wyoming,Cougars,62,54,21-51,24-59,41.2,40.7,4-14,5-24,28.6,20.8,16-22,16-23,72.7,69.6,36,46,7,12,27,28,6,6,8,12,5,6,18,15,21,22,0,0,0,0,6,10 
E. Washington,Pacific Lutheran University,83,72,28-49,25-53,57.1,47.2,11-22,10-21,50.0,47.6,16-22,12-18,72.7,66.7,27,32,6,10,20,19,13,18,8,6,8,1,12,13,17,16,0,0,0,0,18,1 
Washington,UCSB,87,80,30-63,31-65,47.6,47.7,8-15,8-18,53.3,44.4,19-30,10-16,63.3,62.5,37,42,12,14,23,26,8,12,8,5,3,7,7,17,18,24,0,0,0,0,10,6 
California,Weber St.,77,57,27-52,20-64,51.9,31.3,4-12,12-31,33.3,38.7,19-24,5-8,79.2,62.5,45,35,9,14,32,18,16,13,3,1,3,0,7,8,14,21,1,1,0,0,25,0 
Hawaii,HawaiiHilo,79,66,29-63,23-60,46.0,38.3,2-17,7-24,11.8,29.2,19-26,13-19,73.1,68.4,46,40,16,12,28,23,11,8,6,8,3,5,17,19,14,21,0,0,0,0,16,11 
