Austin Peay,Tennessee,74,70,26-44,28-60,59.1,46.7,5-8,5-19,62.5,26.3,17-22,9-16,77.3,56.3,25,35,5,19,19,15,15,16,10,8,6,2,16,18,15,19,0,0,0,0,4,12 
Providence,Bryant,72,61,24-54,25-61,44.4,41.0,2-10,8-22,20.0,36.4,22-24,3-6,91.7,50.0,39,33,9,10,28,22,11,13,4,3,7,4,9,11,8,18,0,0,0,0,12,8 
Saint Joseph's,Creighton,80,71,29-59,27-61,49.2,44.3,3-10,11-21,30.0,52.4,19-29,6-9,65.5,66.7,43,32,12,6,28,22,14,15,7,7,7,1,13,14,13,26,0,0,0,0,12,8 
Georgetown,Howard,62,48,16-49,15-46,32.7,32.6,1-13,4-11,7.7,36.4,29-42,14-22,69.0,63.6,39,43,11,10,25,28,7,8,7,5,4,2,12,23,20,26,0,1,0,0,18,0 
Duke,Washington,86,80,27-57,31-65,47.4,47.7,5-17,5-17,29.4,29.4,27-44,13-23,61.4,56.5,45,39,13,11,28,25,13,14,7,7,7,0,14,14,21,29,0,0,0,0,19,0 
Xavier,Cincinnati,76,53,29-56,17-61,51.8,27.9,5-14,1-16,35.7,6.3,13-18,18-23,72.2,78.3,45,42,11,16,29,20,16,8,6,5,8,2,12,10,19,19,2,1,0,0,23,4 
Delaware,Delaware St.,58,42,21-49,15-58,42.9,25.9,6-18,4-13,33.3,30.8,10-11,8-11,90.9,72.7,42,44,5,13,32,24,9,4,2,8,5,4,14,11,16,13,0,1,0,0,24,1 
Campbell,Methodist University,103,55,38-68,20-58,55.9,34.5,9-21,5-19,42.9,26.3,18-22,10-16,81.8,62.5,40,39,11,13,27,21,27,11,12,3,7,2,6,20,14,17,0,0,0,0,48,0 
VMI,Milligan College,122,73,38-59,25-69,64.4,36.2,12-25,4-18,48.0,22.2,34-47,19-20,72.3,95.0,46,31,12,12,31,16,22,13,12,7,9,2,12,17,16,30,2,1,0,0,51,2 
Minnesota,St. Peter's,69,47,24-52,19-48,46.2,39.6,4-12,3-11,33.3,27.3,17-27,6-10,63.0,60.0,45,29,17,10,21,16,19,15,9,4,6,5,11,18,14,23,0,0,0,0,22,0 
Indiana St.,Fighting Scots,68,57,23-55,28-52,41.8,53.8,5-19,13-26,26.3,50.0,14-19,14-18,73.7,77.8,27,35,6,5,21,30,9,19,7,5,2,2,14,14,17,18,0,0,0,0,10,19 
Clev. St.,Akron,69,66,26-57,20-47,45.6,42.6,8-19,5-9,42.1,55.6,9-10,21-29,90.0,72.4,35,33,10,10,21,18,16,11,8,11,8,2,15,15,18,12,0,0,0,0,13,6 
La Salle,Army,76,64,28-52,22-57,53.8,38.6,15-29,10-18,51.7,55.6,5-10,10-12,50.0,83.3,35,35,4,9,28,23,18,16,3,1,3,1,13,15,14,16,0,0,0,0,21,0 
Ball St.,Butler,58,55,17-45,20-65,37.8,30.8,5-14,3-22,35.7,13.6,19-31,12-19,61.3,63.2,39,46,9,19,29,23,13,13,7,2,4,2,14,14,19,24,0,0,0,0,8,0 
BYU,Utah,61,42,19-49,14-52,38.8,26.9,9-27,3-17,33.3,17.6,14-19,11-18,73.7,61.1,44,41,10,11,31,24,15,6,2,4,7,4,10,10,19,19,0,0,0,0,22,4 
Brown,CCSU,90,80,29-50,30-72,58.0,41.7,14-21,14-29,66.7,48.3,18-24,6-10,75.0,60.0,35,40,4,14,30,23,25,16,5,6,3,2,15,9,16,20,0,0,0,0,14,12 
DePaul,Chicago St.,102,95,35-76,38-75,46.1,50.7,14-31,4-12,45.2,33.3,18-28,15-20,64.3,75.0,40,54,17,18,21,31,25,11,13,7,9,4,15,21,24,21,1,1,0,0,17,0 
ETSU,App. St.,65,48,24-51,17-40,47.1,42.5,2-3,8-20,66.7,40.0,15-31,6-13,48.4,46.2,35,32,13,8,19,22,12,10,11,2,2,8,7,18,15,23,0,1,0,0,21,0 
Saint Louis,ILSpringfield,72,62,23-59,25-47,39.0,53.2,4-23,3-10,17.4,30.0,22-30,9-15,73.3,60.0,41,35,14,4,22,26,9,16,9,5,3,6,9,19,15,23,0,0,0,0,14,5 
Kent St.,W. Carolina,58,56,21-52,20-50,40.4,40.0,4-15,8-22,26.7,36.4,12-16,8-10,75.0,80.0,42,30,12,7,26,21,6,7,7,6,2,7,21,20,11,13,0,0,0,0,6,6 
Columbia,LIU,63,53,24-60,18-49,40.0,36.7,4-19,2-13,21.1,15.4,11-16,15-23,68.8,65.2,39,45,10,11,24,30,14,8,13,4,5,2,12,23,21,17,0,0,0,0,11,6 
LoyolaMd.,Mt St Mary's,65,54,18-43,20-51,41.9,39.2,7-16,5-20,43.8,25.0,22-32,9-16,68.8,56.3,32,35,8,12,23,22,10,10,8,2,3,2,9,14,19,23,0,0,0,0,12,5 
Md.E. Shore,Mercy,95,69,35-74,24-51,47.3,47.1,9-21,5-14,42.9,35.7,16-26,16-23,61.5,69.6,37,44,15,10,21,30,23,7,18,5,4,2,12,30,21,21,0,0,0,0,27,0 
Georgia St.,Rhode Island,96,64,34-62,24-55,54.8,43.6,8-20,3-19,40.0,15.8,20-26,13-17,76.9,76.5,34,35,9,8,24,24,19,13,11,5,4,5,9,16,14,19,0,0,0,0,32,0 
Colgate,St. Fran.NY,65,63,25-48,28-62,52.1,45.2,2-9,3-20,22.2,15.0,13-17,4-6,76.5,66.7,40,30,8,7,27,20,10,11,6,6,2,3,25,19,17,19,0,0,0,0,4,4 
Wisconsin,UNLV,62,51,20-54,18-46,37.0,39.1,10-26,5-12,38.5,41.7,12-18,10-14,66.7,71.4,34,38,10,5,24,27,12,8,8,5,0,1,10,15,11,17,0,0,0,0,19,0 
N. Iowa,Milwaukee,67,51,20-54,18-42,37.0,42.9,9-19,5-19,47.4,26.3,18-22,10-13,81.8,76.9,35,31,14,7,19,21,8,6,7,2,1,1,6,15,16,16,0,1,0,0,16,3 
Pittsburgh,Okla. St.,74,68,26-49,26-62,53.1,41.9,4-10,7-18,40.0,38.9,18-29,9-13,62.1,69.2,49,27,14,10,29,15,14,10,2,5,5,8,12,4,17,23,0,0,0,0,16,0 
Oklahoma,Arkansas,78,63,26-50,20-58,52.0,34.5,8-16,7-27,50.0,25.9,18-23,16-20,78.3,80.0,41,30,11,12,27,14,16,11,6,7,4,5,17,13,16,20,0,0,0,0,18,4 
Tennessee St.,C. Michigan,65,57,22-55,23-59,40.0,39.0,4-16,7-19,25.0,36.8,17-24,4-8,70.8,50.0,40,43,15,16,22,24,11,12,8,6,6,3,16,19,13,21,0,1,0,0,8,2 
Loyola Chi.,Toledo,57,55,20-49,20-46,40.8,43.5,5-15,7-20,33.3,35.0,12-22,8-11,54.5,72.7,39,29,11,3,25,24,11,13,4,6,0,2,13,12,13,17,0,0,0,0,8,14 
Ole Miss,Miss Valley St.,80,56,29-55,19-64,52.7,29.7,8-18,7-21,44.4,33.3,14-19,11-22,73.7,50.0,55,35,12,13,36,17,19,12,5,15,12,1,23,13,20,21,0,0,0,0,28,4 
Tx. Wesleyan,FIU,72,68,24-52,24-51,46.2,47.1,6-16,7-19,37.5,36.8,14-18,17-20,77.8,85.0,31,34,13,15,16,17,9,10,14,4,1,2,16,21,18,15,0,0,0,0,9,9 
Kansas,Ohio St.,78,67,28-48,24-62,58.3,38.7,9-17,5-17,52.9,29.4,13-20,14-18,65.0,77.8,32,33,6,14,25,16,18,12,6,8,2,0,18,15,16,22,1,0,0,0,12,0 
Wright St.,Miami (Ohio),51,49,15-44,13-43,34.1,30.2,7-18,6-21,38.9,28.6,14-19,17-28,73.7,60.7,34,37,9,12,25,23,9,9,10,9,5,3,22,21,24,17,0,0,0,0,2,1 
Arizona,Clemson,63,47,25-49,19-60,51.0,31.7,5-15,4-19,33.3,21.1,8-14,5-5,57.1,100.0,37,34,7,11,27,19,14,9,7,5,5,2,13,12,11,18,0,0,0,0,16,0 
Purdue,E. Michigan,61,36,20-55,13-42,36.4,31.0,9-28,4-15,32.1,26.7,12-23,6-13,52.2,46.2,41,31,15,6,24,24,14,3,8,3,5,5,7,16,13,14,0,0,0,0,26,0 
Louisville,FDU,80,58,27-63,21-59,42.9,35.6,9-29,6-16,31.0,37.5,17-27,10-21,63.0,47.6,54,38,19,13,31,23,16,13,6,5,4,2,10,12,17,20,0,0,0,0,31,2 
George Mason,Radford,76,61,27-60,18-55,45.0,32.7,5-13,5-17,38.5,29.4,17-26,20-24,65.4,83.3,49,37,18,13,26,20,16,10,4,4,6,5,13,12,20,22,0,0,0,0,20,0 
Harvard,Boston U.,76,52,27-49,17-55,55.1,30.9,9-15,5-18,60.0,27.8,13-16,13-25,81.3,52.0,43,36,11,18,28,12,19,8,4,8,8,4,13,9,21,16,0,0,0,0,29,3 
Lehigh,Wagner,70,69,23-59,27-53,39.0,50.9,8-22,4-15,36.4,26.7,16-20,11-13,80.0,84.6,44,31,12,4,23,25,7,15,8,8,2,4,13,12,18,16,0,0,0,0,4,11 
Manhattan,Hofstra,68,59,24-55,19-57,43.6,33.3,6-12,5-19,50.0,26.3,14-21,16-18,66.7,88.9,47,35,14,11,29,21,16,10,8,9,7,5,22,17,21,22,0,0,0,0,17,0 
