Gonzaga,Washington St.,89,81,23-56,29-61,41.1,47.5,13-29,9-20,44.8,45.0,30-37,14-21,81.1,66.7,43,36,14,10,27,23,17,15,8,9,5,4,13,13,19,27,0,0,0,0,21,0 
Saint Mary's,N. Iowa,57,41,21-51,16-59,41.2,27.1,7-22,6-19,31.8,31.6,8-13,3-5,61.5,60.0,45,37,9,10,33,24,12,7,10,7,3,1,15,14,14,19,0,0,0,0,28,2 
Hawaii,CSNorthridge,86,67,27-57,22-71,47.4,31.0,10-27,3-23,37.0,13.0,22-35,20-23,62.9,87.0,44,46,8,16,33,26,16,13,7,8,2,3,16,15,19,26,1,0,0,0,25,5 
Drexel,Rider,80,62,30-61,21-58,49.2,36.2,3-16,3-18,18.8,16.7,17-24,17-26,70.8,65.4,50,37,14,12,31,22,15,7,5,7,4,6,16,15,25,19,0,0,0,0,18,8 
Charleston,Morehead St.,72,57,27-52,18-54,51.9,33.3,10-24,6-17,41.7,35.3,8-11,15-20,72.7,75.0,38,32,12,13,25,16,19,9,5,7,2,1,17,12,16,17,0,0,0,0,22,0 
Kent St.,West Virginia,70,60,28-59,21-57,47.5,36.8,5-13,2-12,38.5,16.7,9-13,16-28,69.2,57.1,35,50,9,21,22,25,13,11,9,7,2,2,11,17,23,17,0,0,0,0,13,8 
Memphis,Belmont,97,81,34-58,26-67,58.6,38.8,7-14,6-20,50.0,30.0,22-34,23-29,64.7,79.3,31,45,5,18,24,24,20,13,7,7,7,1,9,18,20,27,1,0,0,0,18,1 
Baylor,San Diego St.,77,67,24-52,21-59,46.2,35.6,9-17,8-24,52.9,33.3,20-24,17-20,83.3,85.0,36,39,10,13,26,20,18,8,10,10,5,2,21,21,21,22,0,0,0,0,16,5 
Manhattan,Brown,54,52,19-59,18-42,32.2,42.9,9-35,6-19,25.7,31.6,7-9,10-15,77.8,66.7,39,37,14,6,21,28,13,14,7,5,4,4,12,17,13,12,0,0,0,0,9,3 
Texas,Rhode Island,100,90,28-59,31-72,47.5,43.1,9-21,9-25,42.9,36.0,35-44,19-32,79.5,59.4,45,49,14,22,28,20,18,10,9,6,2,3,12,15,23,30,0,0,0,0,17,2 
