Seton Hall,Mercer,80,77,25-64,31-61,39.1,50.8,8-16,10-28,50.0,35.7,22-33,5-8,66.7,62.5,43,37,19,9,20,25,14,16,13,3,4,8,12,21,17,25,1,0,0,0,13,3 
Boston College,Bryant,75,55,28-59,21-56,47.5,37.5,12-29,5-21,41.4,23.8,7-8,8-14,87.5,57.1,39,30,10,10,28,20,21,9,2,5,2,3,9,9,13,10,1,0,0,0,23,0 
Wake Forest,GardnerWebb,67,59,26-53,21-57,49.1,36.8,5-12,6-23,41.7,26.1,10-15,11-17,66.7,64.7,38,36,10,13,25,21,14,8,6,11,2,2,15,14,16,19,0,0,0,0,12,3 
UConn,Holy Cross,77,40,34-68,16-61,50.0,26.2,2-12,6-18,16.7,33.3,7-12,2-2,58.3,100.0,46,44,12,12,33,26,23,6,12,3,9,5,7,17,8,10,0,0,0,0,39,3 
Oral Roberts,Xavier,64,42,25-56,17-52,44.6,32.7,7-20,1-11,35.0,9.1,7-11,7-11,63.6,63.6,36,41,7,11,25,26,17,11,13,2,4,5,9,17,13,10,0,0,0,0,30,3 
Princeton,Northeastern,71,62,25-46,24-48,54.3,50.0,5-11,6-13,45.5,46.2,16-20,8-14,80.0,57.1,31,27,7,8,20,16,16,12,9,8,2,4,19,20,15,17,0,0,0,0,9,9 
Iowa St.,C. Michigan,59,52,18-42,21-55,42.9,38.2,5-16,4-24,31.3,16.7,18-27,6-6,66.7,100.0,40,28,11,8,25,19,8,9,3,5,5,3,16,11,10,25,0,0,0,0,16,2 
PFW,UT Martin,82,76,28-52,26-57,53.8,45.6,6-10,3-13,60.0,23.1,20-29,21-30,69.0,70.0,40,32,10,9,28,18,19,16,8,6,1,3,20,16,20,25,0,0,0,0,20,0 
Army,UTRio Grande Valley,61,59,23-52,18-51,44.2,35.3,5-20,6-26,25.0,23.1,10-13,17-26,76.9,65.4,41,33,11,11,28,20,14,6,8,8,2,0,19,15,22,16,0,0,0,0,15,3 
Yale,Rhode Island,68,65,20-43,23-53,46.5,43.4,9-21,3-10,42.9,30.0,19-22,16-29,86.4,55.2,34,36,5,15,21,20,14,12,6,12,2,7,17,15,23,22,2,0,0,0,10,13 
St. Bona.,LoyolaMd.,76,66,22-38,24-59,57.9,40.7,6-14,4-15,42.9,26.7,26-36,14-20,72.2,70.0,37,26,7,10,28,13,12,11,1,12,4,0,20,10,17,27,0,1,0,0,18,0 
Canisius,South Dakota,90,80,33-65,27-61,50.8,44.3,9-20,8-29,45.0,27.6,15-23,18-23,65.2,78.3,50,32,16,8,29,21,16,21,6,8,4,5,18,12,18,19,1,0,0,0,10,5 
Wofford,Jacksonville,63,57,17-41,24-60,41.5,40.0,4-13,5-11,30.8,45.5,25-39,4-9,64.1,44.4,36,41,6,11,27,25,12,14,6,5,3,3,13,11,15,27,0,1,0,0,12,2 
Florida St.,LMU,77,61,29-67,20-56,43.3,35.7,6-25,9-26,24.0,34.6,13-27,12-16,48.1,75.0,53,38,21,8,28,24,15,9,6,3,8,0,16,17,15,21,0,0,0,0,25,3 
