Michigan,Alabama A&M,87,57,30-55,20-62,54.5,32.3,10-22,9-23,45.5,39.1,17-21,8-12,81.0,66.7,43,33,10,12,31,18,19,9,7,8,4,0,15,14,15,20,0,0,0,0,30,0 
Georgetown,American,81,55,30-51,22-54,58.8,40.7,6-16,6-23,37.5,26.1,15-20,5-8,75.0,62.5,37,27,7,8,27,15,18,12,8,5,3,2,12,15,18,20,1,1,0,0,28,3 
Dartmouth,Elon,62,54,23-53,16-55,43.4,29.1,2-12,9-26,16.7,34.6,14-20,13-19,70.0,68.4,42,37,11,11,31,24,11,11,7,4,1,2,16,15,18,20,0,0,0,0,12,9 
Miami,FAU,93,90,31-50,32-71,62.0,45.1,14-20,15-29,70.0,51.7,17-25,11-14,68.0,78.6,28,42,3,16,22,19,20,21,7,10,10,3,18,16,17,18,0,0,0,0,9,3 
Miss. St.,Detroit,80,75,30-61,26-59,49.2,44.1,8-24,7-20,33.3,35.0,12-19,16-21,63.2,76.2,41,33,11,6,27,27,17,12,2,6,2,3,8,9,16,19,0,0,0,0,14,3 
Ohio St.,South Carolina,74,66,27-53,23-49,50.9,46.9,5-15,6-16,33.3,37.5,15-20,14-18,75.0,77.8,33,20,14,8,19,12,16,9,7,3,3,4,13,14,19,18,1,0,0,0,13,6 
Rutgers,Stony Brook,67,58,16-60,24-46,26.7,52.2,7-24,2-7,29.2,28.6,19-24,17-22,79.2,77.3,46,42,21,9,19,25,8,9,5,8,1,9,16,15,18,21,0,0,0,0,1,13 
Iona,Vermont,73,72,27-61,28-58,44.3,48.3,4-13,9-20,30.8,45.0,15-16,7-10,93.8,70.0,43,30,14,8,23,19,13,15,6,4,2,1,9,9,12,14,0,0,0,0,5,11 
New Hamp.,Marist,73,56,30-65,18-55,46.2,32.7,6-15,1-9,40.0,11.1,7-12,19-30,58.3,63.3,48,41,13,15,30,22,14,4,6,9,1,7,14,16,24,14,0,0,0,0,25,10 
Cornell,Albany,85,82,31-61,27-58,50.8,46.6,10-30,6-19,33.3,31.6,13-23,22-29,56.5,75.9,32,45,5,11,25,31,25,14,15,14,3,0,17,25,20,20,0,0,0,0,7,12 
Baylor,BYU,86,83,32-63,32-68,50.8,47.1,13-25,7-21,52.0,33.3,9-15,12-20,60.0,60.0,36,47,10,19,21,25,17,14,10,6,4,6,13,16,19,19,0,0,0,0,9,13 
Northwestern,CCSU,70,64,25-57,24-64,43.9,37.5,9-29,8-21,31.0,38.1,11-14,8-13,78.6,61.5,42,49,9,16,26,24,15,10,3,8,5,4,12,12,13,14,0,0,0,0,7,8 
W. Michigan,Duquesne,85,71,27-50,25-57,54.0,43.9,10-22,6-24,45.5,25.0,21-23,15-22,91.3,68.2,38,25,13,11,24,12,14,11,4,11,2,1,15,8,17,19,0,1,0,0,20,6 
Butler,Purdue,67,65,26-65,24-53,40.0,45.3,6-21,7-16,28.6,43.8,7-12,12-22,58.3,54.5,41,41,15,12,22,25,14,11,8,4,6,7,8,12,20,15,0,0,0,0,13,2 
