Providence,Boston College,64,57,24-55,17-51,43.6,33.3,6-17,8-20,35.3,40.0,10-14,15-19,71.4,78.9,40,34,14,11,25,20,10,10,4,4,10,3,13,11,17,16,0,0,0,0,8,2 
Clev. St.,Robert Morris,62,58,16-40,19-40,40.0,47.5,7-19,7-16,36.8,43.8,23-29,13-23,79.3,56.5,30,31,9,9,16,17,8,10,10,10,1,5,19,21,24,20,0,0,0,0,16,7 
VMI,Knights,109,86,28-56,22-56,50.0,39.3,6-22,10-30,27.3,33.3,13-18,11-15,72.2,73.3,42,33,11,8,30,21,20,11,5,6,4,4,14,14,16,21,0,1,0,0,19,5 
UConn,Harvard,67,53,26-55,18-50,47.3,36.0,7-14,7-21,50.0,33.3,8-12,10-14,66.7,71.4,39,31,11,9,24,19,14,14,8,5,4,3,8,11,11,12,0,0,0,0,16,3 
South Dakota,Canisius,67,55,25-48,19-60,52.1,31.7,10-18,4-19,55.6,21.1,7-12,13-18,58.3,72.2,35,40,6,15,27,20,17,10,6,6,6,2,14,10,15,12,0,0,0,0,16,2 
Florida A&M,Fire,82,64,41-66,20-58,62.1,34.5,13-22,8-18,59.1,44.4,7-11,14-16,63.6,87.5,37,28,11,12,26,16,18,9,11,7,7,1,11,19,11,11,0,0,0,0,49,0 
Notre Dame,Maine,87,78,29-56,34-63,51.8,54.0,8-20,6-16,40.0,37.5,21-28,4-5,75.0,80.0,37,30,12,7,22,19,18,19,3,7,5,0,10,9,8,20,0,0,0,0,13,6 
Detroit,W. Michigan,92,81,33-62,27-64,53.2,42.2,2-8,7-21,25.0,33.3,24-33,20-23,72.7,87.0,43,35,13,14,25,20,18,9,8,3,5,3,8,13,22,22,0,0,0,0,24,0 
Oklahoma,Oral Roberts,73,59,26-55,25-63,47.3,39.7,3-13,2-10,23.1,20.0,7-9,11-16,77.8,68.8,37,41,10,18,23,19,13,9,4,7,3,1,15,12,19,14,0,0,0,0,4,1 
West Virginia,Kansas St.,85,80,31-63,30-68,49.2,44.1,5-17,6-21,29.4,28.6,18-31,14-26,58.1,53.8,45,43,12,16,29,24,14,19,5,10,3,6,18,18,24,31,0,0,0,0,5,7 
Drake,E. Michigan,66,53,22-49,18-45,44.9,40.0,5-16,7-14,31.3,50.0,17-26,10-14,65.4,71.4,31,36,10,8,20,23,14,7,8,2,3,3,9,15,18,24,0,0,0,0,15,7 
E. Washington,Wildcats,104,54,23-46,15-59,50.0,25.4,6-17,4-23,35.3,17.4,23-30,15-20,76.7,75.0,49,35,12,13,33,16,16,4,4,9,4,0,21,12,20,25,0,0,0,0,28,0 
