Middle Tenn.,Akron,77,53,28-55,16-56,50.9,28.6,2-9,4-14,22.2,28.6,19-33,17-22,57.6,77.3,44,37,14,15,27,19,15,6,7,1,6,1,8,13,22,25,0,0,0,0,24,5 
Columbia,La Sierra,78,56,18-64,26-60,28.1,43.3,3-12,14-33,25.0,42.4,17-22,12-21,77.3,57.1,49,49,15,13,26,33,7,19,5,5,0,5,8,8,18,14,0,0,0,0,0,26 
Murray St.,Dayton,75,58,28-51,25-51,54.9,49.0,9-15,3-21,60.0,14.3,10-12,5-8,83.3,62.5,34,27,9,9,18,16,19,10,7,7,1,4,13,17,9,14,0,0,0,0,19,3 
Iona,Niagara,98,62,21-51,23-59,41.2,39.0,9-23,6-17,39.1,35.3,21-30,14-20,70.0,70.0,41,35,8,9,32,24,12,10,7,7,5,3,14,12,18,21,0,0,0,0,10,2 
Maine,Rhode Island,76,74,26-56,25-75,46.4,33.3,5-16,8-34,31.3,23.5,19-22,16-23,86.4,69.6,47,54,10,27,29,22,13,15,10,8,0,4,16,18,22,19,0,1,0,0,5,2 
Michigan St.,Neb.Omaha,110,68,46-75,22-58,61.3,37.9,8-16,9-25,50.0,36.0,10-11,15-22,90.9,68.2,55,17,17,3,37,13,35,18,6,7,5,2,10,8,20,14,1,0,0,0,49,3 
So. Miss,N. Mex. St.,74,66,24-63,26-52,38.1,50.0,5-17,6-16,29.4,37.5,21-30,8-14,70.0,57.1,52,35,20,7,22,26,11,7,8,7,1,7,15,19,16,24,0,1,0,0,19,0 
Marist,Rider,95,75,30-53,30-62,56.6,48.4,13-20,1-14,65.0,7.1,22-27,14-17,81.5,82.4,40,28,10,9,24,15,20,12,2,11,2,4,18,14,16,20,0,0,0,0,23,0 
Harvard,Seattle,80,70,23-56,28-52,41.1,53.8,5-19,5-15,26.3,33.3,29-36,9-18,80.6,50.0,41,33,15,7,22,21,11,10,8,7,4,4,13,16,15,28,0,0,0,0,17,2 
Manhattan,St. Peter's,68,42,23-47,14-43,48.9,32.6,6-16,0-7,37.5,0.0,16-24,14-24,66.7,58.3,41,28,12,10,25,16,10,7,11,6,8,6,17,18,24,20,0,0,0,0,29,2 
UNCAsh.,SC Upstate,88,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
VCU,George Wash.,75,60,25-58,25-54,43.1,46.3,12-24,5-14,50.0,35.7,13-18,5-7,72.2,71.4,37,36,13,10,20,23,14,12,8,2,6,6,10,17,13,20,0,0,0,0,19,4 
W. Kentucky,Bowling Green,60,53,18-45,21-63,40.0,33.3,3-18,3-11,16.7,27.3,21-31,8-12,67.7,66.7,50,34,10,11,34,22,11,10,7,7,6,3,21,14,16,22,0,0,0,0,18,0 
SMU,Little Rock,69,63,22-44,20-44,50.0,45.5,9-22,7-22,40.9,31.8,16-22,16-21,72.7,76.2,23,33,3,9,18,22,15,8,5,5,0,3,15,21,16,22,1,0,0,0,6,14 
South Carolina,Clemson,58,55,21-50,19-50,42.0,38.0,5-15,5-18,33.3,27.8,11-17,12-16,64.7,75.0,36,34,10,11,23,22,8,13,6,3,5,1,8,11,16,15,0,0,0,0,5,10 
Baylor,Northwestern,69,41,29-48,14-58,60.4,24.1,4-18,4-26,22.2,15.4,7-12,9-14,58.3,64.3,39,42,5,16,32,18,18,13,8,3,9,2,15,12,18,17,0,0,0,0,32,2 
Morehead St.,Cougars,83,57,25-61,20-45,41.0,44.4,11-23,5-18,47.8,27.8,22-34,12-18,64.7,66.7,52,34,24,9,20,21,18,12,11,9,3,5,16,25,20,30,0,0,0,0,26,4 
Stanford,NC State,76,72,21-58,26-55,36.2,47.3,5-14,7-17,35.7,41.2,29-34,13-20,85.3,65.0,47,33,17,11,23,19,11,8,7,5,2,5,10,17,22,25,0,0,0,0,7,12 
Wichita St.,UNLV,89,70,32-54,24-51,59.3,47.1,12-23,5-20,52.2,25.0,13-19,17-23,68.4,73.9,29,28,9,9,19,17,20,13,3,2,1,3,6,7,18,21,0,0,0,0,21,4 
North Texas,LMU,76,63,28-68,22-48,41.2,45.8,3-19,6-18,15.8,33.3,17-20,13-21,85.0,61.9,43,33,15,7,22,25,10,14,5,2,0,3,4,16,18,17,0,0,0,0,16,2 
Indiana,Stetson,84,50,34-66,17-53,51.5,32.1,5-13,8-20,38.5,40.0,11-14,8-13,78.6,61.5,39,39,10,12,26,24,20,8,13,6,7,1,9,23,10,14,0,0,0,0,37,4 
Maryland,Notre Dame,78,71,23-54,24-55,42.6,43.6,7-10,7-21,70.0,33.3,25-35,16-22,71.4,72.7,43,34,17,11,23,19,9,10,1,3,2,4,8,7,16,22,0,0,0,0,11,7 
San Diego St.,California,64,63,23-53,24-60,43.4,40.0,4-10,4-10,40.0,40.0,14-20,11-18,70.0,61.1,39,38,11,14,26,21,9,14,5,4,2,3,12,11,16,18,0,0,0,0,8,6 
Fairfield,Canisius,68,59,24-59,22-58,40.7,37.9,4-11,5-21,36.4,23.8,15-23,11-14,65.2,78.6,52,31,18,10,27,20,11,11,6,7,1,6,13,12,17,20,0,0,0,0,10,3 
San Fran.,Pacific Union,90,38,37-67,13-49,55.2,26.5,6-20,5-28,30.0,17.9,10-21,7-10,47.6,70.0,53,22,22,6,29,12,18,6,13,5,5,4,10,19,12,15,0,0,0,0,55,0 
Creighton,Nebraska,76,66,26-51,24-56,51.0,42.9,5-10,4-16,50.0,25.0,19-22,14-17,86.4,82.4,33,31,11,13,20,15,15,9,5,9,0,3,17,13,16,22,0,2,0,0,14,5 
Kansas St.,Va. Tech,69,61,23-55,22-65,41.8,33.8,3-13,3-18,23.1,16.7,20-33,14-21,60.6,66.7,44,53,13,18,29,27,10,6,8,6,6,5,12,13,18,27,0,0,0,0,11,8 
Hampton,Howard,71,53,22-55,19-53,40.0,35.8,5-18,0-6,27.8,0.0,22-32,15-19,68.8,78.9,40,35,12,9,27,24,13,5,9,8,4,1,16,19,14,24,0,0,0,0,19,5 
Okla. St.,Lions,80,58,27-47,21-59,57.4,35.6,7-21,6-23,33.3,26.1,19-27,10-21,70.4,47.6,41,30,7,13,31,13,15,6,10,10,6,1,21,19,21,24,0,0,0,0,22,1 
Ole Miss,Penn St.,72,70,27-59,26-54,45.8,48.1,11-24,6-19,45.8,31.6,7-10,12-19,70.0,63.2,33,38,10,12,20,22,14,16,10,2,4,1,12,15,23,13,0,0,0,0,6,8 
Oregon St.,Montana,71,46,20-51,17-54,39.2,31.5,8-20,3-14,40.0,21.4,23-30,9-15,76.7,60.0,43,39,12,13,28,22,16,8,9,5,6,1,12,18,17,24,1,1,0,0,25,0 
American,Saint Joseph's,66,60,22-51,25-59,43.1,42.4,8-18,3-17,44.4,17.6,14-16,7-15,87.5,46.7,37,38,10,15,23,20,9,12,5,6,2,8,10,9,15,18,0,0,0,0,12,4 
