VMI,The Citadel,103,100,36-72,34-65,50.0,52.3,7-26,7-17,26.9,41.2,24-30,25-32,80.0,78.1,40,37,11,8,28,28,14,23,5,6,5,2,13,15,26,26,0,0,0,0,15,0 
Georgetown,Savannah St.,83,54,34-51,20-58,66.7,34.5,8-15,6-18,53.3,33.3,7-12,8-16,58.3,50.0,35,36,7,16,27,13,22,12,8,6,10,0,14,16,18,16,0,0,0,0,29,0 
Wisconsin,Kennesaw St.,85,31,30-51,10-43,58.8,23.3,15-25,2-10,60.0,20.0,10-13,9-16,76.9,56.3,42,23,9,5,32,15,23,2,7,7,3,3,10,12,12,16,0,0,0,0,58,3 
PFW,Neb.Omaha,83,72,29-59,27-65,49.2,41.5,8-18,7-24,44.4,29.2,17-21,11-16,81.0,68.8,42,37,10,11,29,22,18,14,8,7,2,2,18,15,15,20,0,0,0,0,22,0 
LSU,Nicholls St.,96,74,30-71,26-51,42.3,51.0,11-24,13-27,45.8,48.1,25-31,9-13,80.6,69.2,45,33,20,5,21,24,20,12,14,6,3,0,9,23,14,24,0,0,0,0,27,4 
So. Miss,Spring Hill,76,41,28-59,14-39,47.5,35.9,9-25,3-6,36.0,50.0,11-13,10-12,84.6,83.3,42,21,19,5,21,13,16,8,8,3,3,1,17,23,16,17,0,0,0,0,35,0 
Va. Tech,ETSU,64,53,19-48,19-64,39.6,29.7,5-18,2-17,27.8,11.8,21-30,13-22,70.0,59.1,46,47,10,19,32,20,13,4,7,5,9,1,15,13,19,19,0,0,0,0,14,7 
Providence,FDU,72,61,27-61,21-57,44.3,36.8,6-14,4-18,42.9,22.2,12-22,15-20,54.5,75.0,46,45,19,19,22,19,13,8,5,5,5,3,9,12,20,22,0,0,0,0,12,0 
Iowa St.,Lehigh,86,77,30-53,28-63,56.6,44.4,10-22,5-21,45.5,23.8,16-21,16-22,76.2,72.7,43,30,10,12,28,16,13,12,5,8,4,3,18,10,20,19,0,0,0,0,26,5 
Notre Dame,Miss Valley St.,80,67,24-54,28-63,44.4,44.4,8-19,8-23,42.1,34.8,24-29,3-8,82.8,37.5,41,32,10,9,29,21,19,16,5,5,2,0,11,12,12,23,0,2,0,0,18,1 
Manhattan,N.J. Tech,62,48,18-54,18-48,33.3,37.5,2-20,4-19,10.0,21.1,24-31,8-14,77.4,57.1,39,41,14,11,24,25,8,8,6,6,3,1,13,21,19,28,0,0,0,0,14,7 
Miss. St.,South Alabama,80,65,28-69,26-57,40.6,45.6,8-27,4-10,29.6,40.0,16-21,9-11,76.2,81.8,45,34,18,8,23,25,13,10,6,4,5,5,6,14,11,20,0,0,0,0,18,4 
Milwaukee,SW State,71,65,20-57,22-51,35.1,43.1,9-22,3-12,40.9,25.0,22-30,18-25,73.3,72.0,47,34,16,6,25,27,8,13,5,4,1,2,9,9,18,25,0,0,0,0,16,5 
Dayton,W. Illinois,87,58,37-65,20-49,56.9,40.8,10-26,1-10,38.5,10.0,3-4,17-21,75.0,81.0,36,30,9,8,24,19,25,8,10,4,2,2,8,16,20,10,0,0,0,0,34,4 
S. Dak. St.,W. Michigan,82,76,29-63,29-61,46.0,47.5,9-28,2-15,32.1,13.3,15-20,16-28,75.0,57.1,40,42,10,12,24,27,14,10,7,5,4,3,12,11,23,19,1,1,0,0,7,1 
Portland,FAU,70,65,25-69,21-52,36.2,40.4,7-29,5-16,24.1,31.3,8-15,23-27,53.3,85.2,39,44,14,10,23,30,13,9,6,1,8,0,5,12,20,17,0,0,0,0,13,6 
Mercer,Eagles,66,57,21-46,21-57,45.7,36.8,6-19,6-22,31.6,27.3,26-36,13-16,72.2,81.3,36,37,9,11,25,23,7,6,7,2,2,0,8,12,16,26,0,0,0,0,18,1 
Evansville,Butler,80,77,21-51,27-58,41.2,46.6,6-14,8-24,42.9,33.3,32-43,15-24,74.4,62.5,41,35,9,9,25,24,9,16,10,6,1,5,17,18,25,29,0,0,0,0,3,13 
E. Kentucky,Winthrop,71,59,24-50,21-58,48.0,36.2,12-30,4-19,40.0,21.1,11-16,13-17,68.8,76.5,33,43,6,17,22,24,16,13,8,6,4,4,9,13,17,16,0,0,0,0,12,9 
