Michigan,Iowa St.,76,66,27-56,24-67,48.2,35.8,7-29,6-27,24.1,22.2,15-18,12-15,83.3,80.0,36,39,6,15,29,23,14,11,2,8,1,1,11,11,15,17,0,0,0,0,22,6 
North Florida,Jacksonville,80,58,28-47,23-68,59.6,33.8,8-13,5-16,61.5,31.3,16-22,7-13,72.7,53.8,40,37,7,18,30,16,12,8,3,10,3,2,16,10,16,21,0,0,0,0,23,0 
Kentucky,N. Carolina,73,72,28-63,25-60,44.4,41.7,4-17,11-18,23.5,61.1,13-18,11-14,72.2,78.6,40,39,16,15,22,21,9,17,7,2,7,6,9,13,12,16,0,0,0,0,6,9 
Ohio St.,UTRio Grande Valley,64,35,25-63,13-40,39.7,32.5,3-13,6-18,23.1,33.3,11-15,3-4,73.3,75.0,47,27,21,5,23,19,14,10,4,2,3,1,8,21,9,12,0,0,0,0,32,0 
Campbell,High Point,72,62,24-55,22-58,43.6,37.9,5-8,5-25,62.5,20.0,19-28,13-20,67.9,65.0,43,38,14,12,28,22,19,11,5,5,4,2,14,15,17,20,0,0,0,0,10,9 
Lipscomb,Kennesaw St.,75,52,32-68,20-61,47.1,32.8,6-22,5-18,27.3,27.8,5-12,7-17,41.7,41.2,54,40,19,16,31,21,17,10,9,9,1,1,16,16,16,14,0,0,0,0,25,0 
Virginia,Longwood,86,53,29-56,20-53,51.8,37.7,6-19,3-19,31.6,15.8,22-34,10-13,64.7,76.9,48,26,13,3,31,20,20,7,11,7,5,1,10,15,13,21,0,0,0,0,35,0 
Miami,Massachusetts,83,75,24-59,24-66,40.7,36.4,8-17,7-24,47.1,29.2,27-36,20-27,75.0,74.1,46,49,10,17,30,28,14,12,6,6,7,3,11,14,23,27,0,0,0,0,13,3 
Georgetown,N.J. Tech,84,44,27-54,15-55,50.0,27.3,12-24,5-24,50.0,20.8,18-20,9-11,90.0,81.8,51,24,13,7,34,15,15,7,5,10,13,2,14,12,12,18,0,0,0,0,42,0 
Old Dominion,Northeastern,69,59,19-53,21-49,35.8,42.9,4-13,4-18,30.8,22.2,27-34,13-16,79.4,81.3,38,34,18,11,17,19,12,10,15,9,0,4,17,22,17,24,0,0,0,0,12,1 
Richmond,Wake Forest,70,62,22-45,22-53,48.9,41.5,7-16,3-6,43.8,50.0,19-25,15-16,76.0,93.8,32,36,9,12,20,17,8,11,3,4,6,5,12,14,20,20,0,0,0,0,23,0 
Boston U.,Boston College,75,61,27-63,24-54,42.9,44.4,13-36,6-17,36.1,35.3,8-11,7-10,72.7,70.0,41,32,15,6,24,22,18,16,4,6,5,4,12,12,12,16,0,0,0,0,14,9 
Clev. St.,Detroit,66,61,24-54,20-43,44.4,46.5,3-12,1-13,25.0,7.7,15-19,20-22,78.9,90.9,39,27,15,6,17,17,14,10,10,6,4,7,18,19,19,18,0,0,0,0,14,2 
Tulane,Ga. Tech,57,52,16-52,21-60,30.8,35.0,8-16,5-17,50.0,29.4,17-21,5-9,81.0,55.6,47,47,11,14,28,27,11,10,4,6,6,12,12,13,11,18,0,0,0,0,10,0 
Milwaukee,UIC,73,71,24-55,26-67,43.6,38.8,6-21,3-15,28.6,20.0,19-33,16-23,57.6,69.6,38,54,7,15,29,33,12,8,4,5,6,4,10,10,19,27,0,0,0,0,11,1 
C. Carolina,Liberty,78,68,27-54,27-65,50.0,41.5,8-18,3-12,44.4,25.0,16-21,11-18,76.2,61.1,37,41,8,15,27,22,16,13,5,3,6,1,15,12,21,19,0,0,0,0,12,6 
Ohio,Morgan St.,61,53,19-52,19-49,36.5,38.8,3-19,1-15,15.8,6.7,20-28,14-23,71.4,60.9,41,41,13,12,22,26,13,11,9,10,0,2,18,23,21,23,1,0,0,0,8,4 
Elon,Navy,51,48,17-51,14-51,33.3,27.5,5-20,4-21,25.0,19.0,12-16,16-21,75.0,76.2,33,47,5,10,26,32,8,6,4,9,2,1,14,18,18,19,0,0,0,0,6,3 
Yale,Vermont,68,52,23-48,21-60,47.9,35.0,7-16,3-13,43.8,23.1,15-17,7-13,88.2,53.8,41,32,7,11,32,18,15,5,4,5,6,1,16,7,18,13,0,0,0,0,21,2 
Valparaiso,Butler,77,71,27-51,24-70,52.9,34.3,5-16,6-20,31.3,30.0,18-27,17-29,66.7,58.6,39,50,6,22,30,23,11,12,5,4,2,5,14,13,24,25,0,0,0,0,7,7 
Georgia St.,William & Mary,66,34,24-59,12-47,40.7,25.5,4-19,5-21,21.1,23.8,14-21,5-7,66.7,71.4,43,34,12,6,28,23,13,8,9,3,3,2,6,18,10,15,0,0,0,0,32,1 
Minnesota,USC,55,40,20-41,16-49,48.8,32.7,6-13,3-11,46.2,27.3,9-9,5-11,100.0,45.5,42,28,8,11,26,13,16,8,8,9,6,3,18,12,16,14,0,0,0,0,18,1 
N. Iowa,Colo. St.,83,77,25-42,28-55,59.5,50.9,8-17,10-20,47.1,50.0,25-32,11-13,78.1,84.6,24,32,3,10,19,19,13,10,9,3,3,2,11,13,17,23,0,0,0,0,19,0 
Ball St.,UT Martin,71,48,27-52,19-56,51.9,33.9,10-20,4-20,50.0,20.0,7-10,6-9,70.0,66.7,38,36,12,14,24,16,22,10,10,9,6,6,16,17,15,16,0,0,0,0,30,4 
Iowa,Brown,75,54,28-69,21-60,40.6,35.0,2-10,4-22,20.0,18.2,17-24,8-17,70.8,47.1,63,39,21,10,35,27,15,12,8,5,3,2,10,12,17,20,0,0,0,0,24,2 
Quinnipiac,Bryant,83,72,29-61,27-53,47.5,50.9,6-16,12-23,37.5,52.2,19-32,6-11,59.4,54.5,51,29,21,6,24,19,18,17,7,4,2,0,9,14,18,28,0,0,0,0,14,0 
CS Fullerton,SIUE,79,57,25-50,20-52,50.0,38.5,10-21,5-19,47.6,26.3,19-24,12-18,79.2,66.7,42,26,13,9,27,15,15,7,5,4,0,0,15,13,18,21,0,0,0,0,24,0 
Xavier,Purdue,66,63,22-41,23-56,53.7,41.1,6-12,5-18,50.0,27.8,16-27,12-21,59.3,57.1,46,35,12,13,26,16,9,9,6,13,3,1,22,13,17,25,0,0,0,0,3,19 
E. Illinois,Stony Brook,72,69,25-57,29-70,43.9,41.4,6-13,7-29,46.2,24.1,16-21,4-5,76.2,80.0,38,44,15,19,21,20,17,15,4,4,0,2,13,11,13,15,0,0,0,0,8,12 
Rice,St. Thomas (TX),81,67,28-53,25-64,52.8,39.1,7-19,12-29,36.8,41.4,18-25,5-6,72.0,83.3,42,33,9,8,32,20,21,18,8,8,2,0,15,12,8,18,0,0,0,0,14,3 
Wright St.,Youngstown St.,63,62,22-45,20-50,48.9,40.0,5-11,11-27,45.5,40.7,14-18,11-15,77.8,73.3,34,28,7,6,25,20,7,12,2,4,1,6,13,7,16,13,0,0,0,0,5,17 
Toledo,Chicago St.,73,61,22-53,21-61,41.5,34.4,8-20,6-14,40.0,42.9,21-30,13-17,70.0,76.5,43,45,17,19,23,20,14,13,6,4,3,5,16,17,13,26,0,0,0,0,22,0 
UConn,Arkansas,75,62,28-49,24-77,57.1,31.2,5-8,8-22,62.5,36.4,14-21,6-14,66.7,42.9,37,54,4,27,31,20,17,12,6,4,11,2,15,12,14,17,0,0,0,0,14,7 
Illinois,Gonzaga,82,75,32-60,26-51,53.3,51.0,5-16,5-13,31.3,38.5,13-17,18-27,76.5,66.7,34,30,9,9,21,18,16,10,9,9,2,1,12,16,21,17,0,0,0,0,10,2 
CCSU,Sacred Heart,82,80,32-72,29-63,44.4,46.0,6-21,5-20,28.6,25.0,12-14,17-22,85.7,77.3,49,38,19,11,26,23,14,13,8,8,2,5,21,20,18,16,0,0,0,0,12,8 
Arizona St.,Tulsa,67,64,25-41,23-55,61.0,41.8,4-7,10-19,57.1,52.6,13-22,8-16,59.1,50.0,33,31,5,13,25,16,10,11,7,4,5,3,14,11,18,18,0,0,0,0,6,3 
La Salle,Bucknell,78,52,29-59,20-61,49.2,32.8,12-27,4-17,44.4,23.5,8-8,8-10,100.0,80.0,39,42,5,14,28,24,16,13,10,4,2,4,9,14,14,12,0,0,0,0,30,0 
Temple,C. Michigan,86,74,28-54,23-53,51.9,43.4,11-24,5-17,45.8,29.4,19-26,23-29,73.1,79.3,37,30,12,9,23,19,22,12,5,5,6,4,14,12,20,20,0,0,0,0,21,0 
Delaware St.,Md.E. Shore,78,68,24-52,24-67,46.2,35.8,7-18,6-27,38.9,22.2,23-30,14-25,76.7,56.0,43,42,11,21,28,19,9,11,8,8,6,3,14,13,20,22,0,0,0,0,10,4 
Delaware,Drexel,71,60,23-50,20-54,46.0,37.0,5-14,3-15,35.7,20.0,20-28,17-24,71.4,70.8,44,33,9,7,31,25,4,5,1,2,3,4,9,5,24,21,0,0,0,0,13,3 
BethuneCook.,Florida A&M,74,59,23-48,22-54,47.9,40.7,4-15,2-11,26.7,18.2,24-33,13-15,72.7,86.7,32,39,10,13,21,19,10,5,9,6,7,2,10,18,17,26,0,0,0,0,19,4 
James Madison,Hofstra,62,60,24-57,22-54,42.1,40.7,6-21,6-16,28.6,37.5,8-10,10-14,80.0,71.4,38,36,13,10,22,21,11,17,4,7,4,4,13,10,18,13,0,0,0,0,5,10 
NC Central,NC A&T,65,46,21-56,14-51,37.5,27.5,5-22,2-18,22.7,11.1,18-24,16-23,75.0,69.6,45,43,13,11,29,26,15,6,6,8,6,2,19,21,21,21,0,1,0,0,19,3 
