Duquesne,Green Bay,84,66,30-65,29-73,46.2,39.7,6-19,2-13,31.6,15.4,18-22,6-11,81.8,54.5,37,54,9,21,24,29,20,12,9,2,6,5,9,19,17,22,0,0,0,0,25,3 
Clev. St.,Vanderbilt,71,58,27-54,18-51,50.0,35.3,5-17,4-17,29.4,23.5,12-20,18-26,60.0,69.2,39,39,10,13,26,22,13,6,15,10,4,3,16,21,21,15,0,0,0,0,16,0 
St. John's,UMBC,82,59,27-58,22-67,46.6,32.8,4-18,6-19,22.2,31.6,24-30,9-13,80.0,69.2,43,43,9,16,32,26,17,14,10,5,4,3,14,20,16,20,0,0,0,0,32,7 
Stony Brook,Mustangs,93,39,24-46,16-60,52.2,26.7,2-7,7-24,28.6,29.2,17-22,19-24,77.3,79.2,42,46,9,21,25,19,9,8,8,5,9,1,15,16,21,18,0,0,0,0,13,1 
Virginia,SC State,75,38,25-51,13-51,49.0,25.5,8-19,3-16,42.1,18.8,17-23,9-20,73.9,45.0,47,34,10,9,34,20,18,6,9,7,2,3,14,15,17,21,0,0,0,0,40,2 
Ohio,UT Martin,74,65,27-63,21-51,42.9,41.2,6-23,2-13,26.1,15.4,14-27,21-27,51.9,77.8,37,47,16,16,19,27,19,8,10,3,4,4,10,23,24,24,0,0,0,0,19,0 
So. Utah,Bryant,95,78,26-46,39-59,56.5,66.1,8-18,7-14,44.4,50.0,18-27,10-13,66.7,76.9,23,27,9,9,13,17,7,29,4,7,2,1,19,11,20,22,0,1,0,0,0,17 
Wright St.,Lords,80,56,25-57,18-44,43.9,40.9,7-19,11-22,36.8,50.0,23-29,9-19,79.3,47.4,43,34,9,3,30,28,20,13,7,4,0,0,11,22,22,23,0,0,0,0,27,0 
Little Rock,Northwestern St.,72,66,26-53,20-56,49.1,35.7,5-14,8-23,35.7,34.8,15-22,18-31,68.2,58.1,45,41,7,12,29,22,16,9,4,5,2,5,15,11,24,21,0,0,0,0,10,3 
Tulsa,SE Louisiana,67,52,24-47,20-56,51.1,35.7,5-14,7-23,35.7,30.4,14-20,5-8,70.0,62.5,40,31,9,10,29,18,16,8,5,5,1,2,12,9,13,18,0,0,0,0,18,0 
Creighton,Chicago St.,95,61,33-58,26-51,56.9,51.0,13-30,5-11,43.3,45.5,16-21,4-9,76.2,44.4,30,35,6,6,22,23,28,12,11,7,3,4,8,21,11,20,0,0,0,0,34,0 
James Madison,Canisius,82,73,29-66,31-71,43.9,43.7,7-24,2-16,29.2,12.5,17-22,9-13,77.3,69.2,46,45,13,14,29,27,15,10,7,11,4,4,16,16,16,20,0,0,0,0,9,6 
Marshall,Jax. State,58,44,20-49,17-55,40.8,30.9,4-20,2-15,20.0,13.3,14-24,8-17,58.3,47.1,44,46,11,16,28,23,16,7,8,7,5,4,11,16,18,18,1,0,0,0,18,5 
Louisville,Lamar,68,48,23-57,15-65,40.4,23.1,3-11,3-19,27.3,15.8,19-24,15-27,79.2,55.6,52,47,13,21,36,23,13,6,5,8,5,4,14,11,20,20,0,1,0,0,20,3 
La. Tech,Mississippi College,92,70,37-78,27-63,47.4,42.9,12-34,4-12,35.3,33.3,6-11,12-27,54.5,44.4,52,44,21,15,29,22,23,16,10,10,7,3,15,16,24,11,0,0,0,0,28,2 
N. Carolina,UNCAsh.,91,75,32-54,25-63,59.3,39.7,2-7,8-28,28.6,28.6,25-35,17-24,71.4,70.8,45,30,8,8,33,19,16,8,5,10,3,0,17,10,18,26,0,0,0,0,20,5 
N. Dak. St.,N. Arizona,70,58,24-40,20-56,60.0,35.7,7-16,7-19,43.8,36.8,15-24,11-15,62.5,73.3,32,30,4,11,28,15,14,9,5,6,8,0,13,12,17,22,0,0,0,0,23,15 
Navy,Lions,88,54,17-44,21-53,38.6,39.6,5-19,6-23,26.3,26.1,16-23,9-16,69.6,56.3,37,36,5,9,28,25,9,13,6,7,1,5,15,14,17,15,0,0,0,0,4,10 
Texas A&M,Southern U.,83,58,29-50,22-53,58.0,41.5,4-9,6-14,44.4,42.9,19-22,10-17,86.4,58.8,35,27,9,12,24,13,16,7,3,2,7,0,8,8,17,21,0,1,0,0,23,0 
Sacramento St.,Cent. Arkansas,75,54,27-59,26-58,45.8,44.8,8-22,5-14,36.4,35.7,6-11,14-20,54.5,70.0,38,51,14,21,17,23,14,15,9,6,5,3,15,17,17,15,0,0,0,0,16,4 
Wichita St.,Charleston So.,85,57,23-56,17-50,41.1,34.0,6-20,7-28,30.0,25.0,13-22,12-17,59.1,70.6,50,33,14,5,32,24,11,6,11,7,1,3,16,16,13,19,0,0,0,0,14,6 
Longwood,Cobras,91,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
UTEP,UC Riverside,52,41,15-57,19-44,26.3,43.2,1-24,6-20,4.2,30.0,9-14,8-17,64.3,47.1,35,39,10,4,25,35,8,8,8,8,2,1,11,18,16,15,0,0,0,0,8,12 
Wofford,Emory & Henry College,70,55,30-59,19-49,50.8,38.8,7-17,6-18,41.2,33.3,16-25,14-29,64.0,48.3,43,35,10,8,33,27,16,9,11,9,3,2,16,20,23,23,0,0,0,0,, 
