Akron,Miss. St.,68,58,30-62,19-55,48.4,34.5,2-10,2-13,20.0,15.4,6-8,18-25,75.0,72.0,36,43,11,18,23,23,6,5,8,4,6,5,15,19,22,12,0,0,0,0,12,5 
St. John's,Lehigh,78,73,23-42,27-65,54.8,41.5,2-9,8-26,22.2,30.8,30-44,11-13,68.2,84.6,30,40,6,17,22,19,7,14,11,5,4,1,14,16,17,31,0,0,0,0,7,16 
Texas A&M,Liberty,81,59,34-52,21-63,65.4,33.3,1-7,5-21,14.3,23.8,12-22,12-15,54.5,80.0,40,35,6,11,33,18,21,16,4,4,4,0,13,10,17,21,0,0,0,0,30,2 
Arizona,Duquesne,67,59,19-44,19-58,43.2,32.8,6-17,4-25,35.3,16.0,23-34,17-26,67.6,65.4,47,37,11,13,32,19,13,9,4,8,3,1,20,10,19,26,0,0,0,0,12,4 
