Dayton,Alabama,74,62,28-46,27-54,60.9,50.0,10-19,4-16,52.6,25.0,8-11,4-8,72.7,50.0,26,28,5,9,21,15,18,18,4,7,1,3,14,11,14,15,0,0,0,0,17,2 
Marist,Army,59,56,24-52,20-57,46.2,35.1,6-21,7-24,28.6,29.2,5-11,9-12,45.5,75.0,35,35,8,11,27,22,11,10,4,7,11,1,18,16,14,17,0,0,0,0,7,9 
Florida,Arizona,78,72,28-68,26-55,41.2,47.3,7-26,9-24,26.9,37.5,15-32,11-15,46.9,73.3,55,39,22,8,25,27,15,14,10,6,3,5,10,17,15,26,0,0,0,0,8,7 
Saint Joseph's,Boston U.,75,68,25-54,25-59,46.3,42.4,5-20,7-17,25.0,41.2,12-22,16-20,54.5,80.0,36,28,8,6,28,22,9,12,4,3,4,3,10,8,18,18,0,0,0,0,4,8 
Buffalo,Niagara,82,74,25-51,24-68,49.0,35.3,10-24,7-27,41.7,25.9,22-31,19-25,71.0,76.0,49,42,15,17,32,17,17,11,5,8,8,0,18,8,23,23,0,0,0,0,16,0 
Michigan St.,CCSU,89,69,33-64,23-66,51.6,34.8,8-21,9-28,38.1,32.1,15-20,14-19,75.0,73.7,46,43,20,23,24,14,25,12,5,6,7,2,12,11,17,18,0,0,0,0,20,11 
Albany,Colgate,87,63,36-55,25-57,65.5,43.9,4-11,8-21,36.4,38.1,11-14,5-9,78.6,55.6,33,34,3,11,25,19,16,11,11,3,2,1,9,14,20,17,0,0,0,0,24,0 
Duke,Colo. St.,87,64,31-55,24-59,56.4,40.7,7-21,4-11,33.3,36.4,18-29,12-17,62.1,70.6,34,36,9,13,25,21,21,11,8,3,9,1,9,15,15,20,0,0,0,0,26,2 
Penn,Delaware,69,60,21-57,23-52,36.8,44.2,7-21,4-14,33.3,28.6,20-23,10-17,87.0,58.8,43,40,14,11,23,23,12,12,10,4,3,6,9,17,19,19,0,0,0,0,14,1 
Manhattan,Fordham,81,47,26-55,17-50,47.3,34.0,9-19,3-17,47.4,17.6,20-28,10-19,71.4,52.6,41,32,14,11,26,19,16,5,12,8,6,3,14,20,20,23,0,0,0,0,38,0 
Stony Brook,FDU,70,46,24-58,17-50,41.4,34.0,9-23,4-11,39.1,36.4,13-16,8-13,81.3,61.5,46,36,13,11,26,23,14,10,7,5,0,6,12,21,14,18,0,0,0,0,30,0 
Ga. Tech,Georgia,68,56,25-48,17-49,52.1,34.7,3-12,6-23,25.0,26.1,15-23,16-21,65.2,76.2,43,35,9,10,25,20,11,7,5,7,5,3,11,12,15,23,0,0,0,0,16,7 
Illinois St.,Morehead St.,78,73,24-41,25-52,58.5,48.1,12-22,9-23,54.5,39.1,18-23,14-16,78.3,87.5,25,28,7,12,15,13,19,13,6,7,3,2,14,15,16,20,0,0,0,0,17,3 
Louisville,IUPUI,90,60,35-63,22-61,55.6,36.1,3-11,9-23,27.3,39.1,17-22,7-10,77.3,70.0,42,34,14,15,26,18,17,14,12,8,2,1,12,20,14,19,0,0,0,0,30,1 
Lafayette,Penn St.,61,57,18-47,19-58,38.3,32.8,9-30,3-23,30.0,13.0,16-20,16-26,80.0,61.5,28,50,4,20,22,27,15,14,7,6,3,1,10,13,19,18,1,1,0,0,10,7 
LoyolaMd.,George Wash.,65,55,23-51,22-58,45.1,37.9,6-11,4-13,54.5,30.8,13-18,7-10,72.2,70.0,43,31,16,13,26,16,11,16,6,7,2,2,21,15,19,17,0,0,0,0,20,2 
La Salle,Towson,89,51,33-62,19-55,53.2,34.5,14-27,3-11,51.9,27.3,9-15,10-15,60.0,66.7,43,32,15,15,24,17,18,6,11,5,2,4,10,15,17,11,0,0,0,0,38,0 
Bowling Green,Malone,87,44,39-61,15-62,63.9,24.2,3-10,4-23,30.0,17.4,6-9,10-14,66.7,71.4,44,39,6,15,36,19,25,8,9,5,8,3,10,16,11,9,0,0,0,0,43,0 
Ohio,Oakland,84,82,32-68,28-54,47.1,51.9,12-27,7-23,44.4,30.4,8-13,19-23,61.5,82.6,37,33,13,8,20,24,13,16,11,5,3,3,16,22,18,16,0,0,0,0,14,6 
Temple,Toledo,77,58,28-53,23-58,52.8,39.7,11-24,2-13,45.8,15.4,10-12,10-17,83.3,58.8,36,32,8,11,28,18,22,8,6,12,4,1,22,14,16,15,0,0,0,0,23,0 
PFW,Valparaiso,85,76,30-62,23-53,48.4,43.4,17-40,7-21,42.5,33.3,7-11,9-13,63.6,69.2,38,28,8,3,30,25,22,11,6,1,3,2,7,10,11,12,0,0,0,0,25,0 
Vanderbilt,Davidson,87,83,30-62,27-61,48.4,44.3,7-15,5-22,46.7,22.7,20-26,24-31,76.9,77.4,45,34,14,12,24,20,8,15,4,8,6,3,15,10,27,22,0,0,0,0,18,8 
Va. Tech,Rhode Island,78,67,30-55,22-55,54.5,40.0,7-16,2-11,43.8,18.2,11-13,21-24,84.6,87.5,36,34,9,12,24,17,17,10,9,5,5,4,14,11,20,12,0,0,0,0,12,7 
Wake Forest,High Point,87,83,28-48,28-63,58.3,44.4,13-22,15-34,59.1,44.1,18-24,12-22,75.0,54.5,33,38,3,15,26,20,19,21,8,7,4,3,13,11,19,19,0,0,0,0,15,3 
Yale,Bryant,76,59,23-51,23-48,45.1,47.9,7-16,7-17,43.8,41.2,23-28,6-13,82.1,46.2,32,31,8,6,22,23,15,14,11,1,3,2,10,17,14,22,0,0,0,0,17,4 
American,Hampton,74,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
New Hamp.,Brown,69,56,23-49,19-52,46.9,36.5,8-18,3-14,44.4,21.4,15-27,15-26,55.6,57.7,46,29,9,5,33,21,11,13,3,5,0,3,14,9,22,18,0,0,0,0,13,0 
Princeton,Rutgers,59,57,20-49,20-53,40.8,37.7,7-23,4-16,30.4,25.0,12-17,13-18,70.6,72.2,29,39,8,14,20,23,17,8,6,8,2,5,15,18,15,19,0,0,0,0,15,0 
Lehigh,St. Fran.Pa.,71,50,28-53,18-52,52.8,34.6,9-17,3-16,52.9,18.8,6-10,11-16,60.0,68.8,50,26,16,13,24,12,19,8,10,9,3,6,18,14,17,13,0,0,0,0,40,0 
Purdue,W. Carolina,65,60,20-52,21-57,38.5,36.8,6-18,8-21,33.3,38.1,19-36,10-17,52.8,58.8,42,44,18,17,21,22,10,9,10,8,7,6,15,19,20,24,0,0,0,0,9,8 
DePaul,Loyola Chi.,69,58,24-55,22-55,43.6,40.0,6-22,2-11,27.3,18.2,15-22,12-22,68.2,54.5,40,39,12,13,26,23,13,8,6,8,3,1,15,14,20,20,0,0,0,0,33,0 
Nebraska,FGCU,51,50,18-45,18-45,40.0,40.0,7-24,9-20,29.2,45.0,8-13,5-10,61.5,50.0,34,28,9,5,23,20,14,12,2,11,6,7,18,13,12,12,0,0,0,0,7,7 
Cent. Arkansas,Henderson St.,83,81,29-77,30-67,37.7,44.8,6-22,7-15,27.3,46.7,19-37,14-23,51.4,60.9,66,47,29,12,30,29,19,20,11,8,10,2,17,18,21,26,0,0,0,0,8,9 
Mercer,Samford,83,78,29-64,27-70,45.3,38.6,4-19,14-34,21.1,41.2,21-26,10-12,80.8,83.3,40,50,10,17,28,29,9,18,12,4,5,4,11,16,16,21,0,0,0,0,7,4 
UAB,Middle Tenn.,66,56,21-45,21-51,46.7,41.2,5-13,4-9,38.5,44.4,19-25,10-16,76.0,62.5,32,30,13,14,18,14,11,10,5,7,4,5,13,14,17,23,0,0,0,0,15,4 
E. Illinois,Oakland City,83,67,32-54,23-50,59.3,46.0,8-17,10-15,47.1,66.7,11-16,11-16,68.8,68.8,27,32,8,11,19,17,18,16,11,8,4,1,14,21,18,15,0,0,0,0,16,0 
Texas A&M,Sam Houston,64,37,26-55,15-60,47.3,25.0,5-14,4-24,35.7,16.7,7-11,3-11,63.6,27.3,56,35,10,9,40,22,15,6,3,6,8,0,11,8,15,14,0,0,0,0,31,0 
Maryland,Mt St Mary's,77,74,25-50,26-56,50.0,46.4,2-7,11-21,28.6,52.4,25-35,11-17,71.4,64.7,33,34,9,10,22,21,13,13,5,5,6,3,11,11,14,23,0,0,0,0,16,2 
Saint Louis,Vermont,62,43,23-47,16-44,48.9,36.4,8-18,2-10,44.4,20.0,8-13,9-15,61.5,60.0,35,28,10,9,23,17,13,8,8,8,2,2,17,19,15,18,0,0,0,0,25,1 
Wichita St.,Tulsa,77,67,24-46,22-50,52.2,44.0,6-13,10-19,46.2,52.6,23-28,13-23,82.1,56.5,39,25,5,6,29,18,12,12,5,3,5,7,12,9,21,21,0,0,0,0,10,8 
Wisconsin,Green Bay,70,42,27-59,18-56,45.8,32.1,3-17,2-12,17.6,16.7,13-19,4-5,68.4,80.0,39,40,13,15,23,22,16,6,8,1,7,3,6,16,11,22,0,0,0,0,28,0 
UMKC,North Dakota,78,75,27-55,30-64,49.1,46.9,12-20,4-13,60.0,30.8,12-18,11-20,66.7,55.0,41,34,10,13,27,20,15,13,6,7,11,8,14,10,14,14,0,0,0,0,11,12 
So. Miss,South Alabama,67,54,22-51,22-54,43.1,40.7,14-25,4-13,56.0,30.8,9-9,6-8,100.0,75.0,26,40,11,19,14,17,14,12,4,4,7,7,12,16,14,14,0,0,0,0,27,0 
W. Kentucky,S. Illinois,62,55,21-48,19-54,43.8,35.2,3-9,2-11,33.3,18.2,17-30,15-17,56.7,88.2,37,45,11,12,25,25,11,12,7,10,2,2,16,19,18,25,0,0,0,0,8,4 
Tenn. Tech,ETSU,83,74,27-49,25-61,55.1,41.0,9-18,4-14,50.0,28.6,20-27,20-27,74.1,74.1,38,30,11,13,25,14,16,9,5,15,4,0,21,14,23,16,1,2,0,0,28,2 
Nevada,Arizona St.,69,61,19-45,22-52,42.2,42.3,6-13,6-20,46.2,30.0,25-33,11-18,75.8,61.1,37,31,10,10,25,20,13,13,10,9,3,3,16,16,15,26,0,0,0,0,11,6 
Pepperdine,N. Arizona,49,40,17-42,15-52,40.5,28.8,5-13,2-15,38.5,13.3,10-15,8-13,66.7,61.5,44,28,11,11,27,17,7,5,3,8,7,1,15,8,13,14,0,0,0,0,12,4 
Colorado,Fresno St.,71,64,19-37,22-61,51.4,36.1,6-12,6-23,50.0,26.1,27-32,14-19,84.4,73.7,36,31,5,14,30,14,13,7,3,7,1,3,17,8,17,21,0,1,0,0,20,2 
CS Fullerton,Utah,81,50,29-51,18-51,56.9,35.3,11-24,6-16,45.8,37.5,12-15,8-16,80.0,50.0,46,20,10,3,35,15,21,12,3,7,1,3,14,7,18,14,0,0,0,0,31,0 
Iona,Denver,80,78,30-58,29-49,51.7,59.2,8-20,9-20,40.0,45.0,12-13,11-15,92.3,73.3,33,22,11,5,16,16,11,19,8,7,2,5,19,20,17,16,1,0,0,0,4,13 
Montana,Montana Tech,64,49,25-53,20-44,47.2,45.5,4-16,4-10,25.0,40.0,10-15,5-8,66.7,62.5,29,30,9,6,18,23,20,7,10,2,3,2,11,22,14,14,0,0,0,0,15,7 
Okla. St.,Missouri St.,72,67,19-47,21-51,40.4,41.2,3-11,6-22,27.3,27.3,31-41,19-26,75.6,73.1,38,34,9,8,25,25,7,12,8,3,2,3,8,12,26,25,1,0,0,0,5,12 
Boise St.,Portland,92,70,30-55,26-59,54.5,44.1,6-19,7-22,31.6,31.8,26-33,11-21,78.8,52.4,40,31,11,11,28,18,13,11,3,2,5,2,9,8,18,26,0,0,0,0,23,0 
Illinois,St. Bona.,48,43,15-47,17-48,31.9,35.4,7-26,4-15,26.9,26.7,11-17,5-8,64.7,62.5,28,38,8,10,18,26,9,8,9,5,2,2,13,18,12,17,0,0,0,0,8,9 
BYU,Weber St.,94,66,39-77,22-66,50.6,33.3,8-20,5-22,40.0,22.7,8-13,17-19,61.5,89.5,47,45,9,9,36,33,20,7,6,3,9,2,7,12,16,16,0,1,0,0,34,9 
Montana St.,Willamette,109,64,38-71,21-64,53.5,32.8,10-21,7-24,47.6,29.2,23-34,15-20,67.6,75.0,55,38,14,8,39,26,25,9,14,7,6,2,13,19,21,26,1,0,0,0,45,0 
Air Force,Wright St.,55,34,19-45,9-46,42.2,19.6,9-25,2-19,36.0,10.5,8-12,14-18,66.7,77.8,34,39,5,12,26,23,15,4,7,5,4,5,14,17,15,14,0,0,0,0,27,0 
Xavier,Butler,73,61,21-53,19-62,39.6,30.6,2-12,2-21,16.7,9.5,29-37,21-28,78.4,75.0,40,39,10,16,28,23,9,9,8,5,1,1,13,16,22,26,0,1,0,0,18,2 
UNLV,Cougars,94,50,23-57,18-60,40.4,30.0,8-23,6-23,34.8,26.1,24-25,22-26,96.0,84.6,37,46,8,17,26,26,16,11,7,6,6,2,12,13,17,19,0,2,0,0,16,1 
CalBaker.,Sacramento St.,63,60,27-53,28-58,50.9,48.3,4-12,12-25,33.3,48.0,18-23,9-14,78.3,64.3,35,31,9,11,24,19,18,20,1,3,1,2,6,8,14,18,0,0,0,0,4,13 
San Diego St.,San Diego,74,62,27-54,26-55,50.0,47.3,5-14,3-16,35.7,18.8,15-21,7-12,71.4,58.3,38,32,9,8,24,22,16,10,7,5,4,4,10,11,11,18,0,0,0,0,12,12 
Washington St.,Idaho,66,64,24-51,24-54,47.1,44.4,7-21,4-13,33.3,30.8,11-15,12-15,73.3,80.0,32,27,12,11,19,14,15,9,1,10,3,3,14,9,13,13,0,0,0,0,10,1 
